User,Functional,Stability,Reliability,,Performance,Efficiency,Usability,Portability
2,90.000000000,12.00310559,59.9,29.39440285,9.503186594,35.5,74.14920369,64.55648516
5,92.00000000,77.62766177,61.9,32.99618284,16.20485038,40.5,73.33681143,62.41341209
6,93.00000000,61.8951284,60.9,34.44990213,19.68624931,41.5,72.80185448,61.64720641
7,93.00000000,61.8951284,61.3,36.07287146,23.4300375,44.3,72.16652471,62.14819377
8,94.0000000,23.74054054,62,38.33138629,27.16342715,46.9,72.45639481,62.72306675
9,91.00000000,25.84923973,62.5,40.11249564,30.52751868,49.9,73.19282134,63.61912216
10,91.00000000,27.77047744,63.2,42.06555109,33.62163381,52.3,73.82114234,65.08838972
19,94.00000000,77.62766177,61.7,50.09981147,46.7648277,60.4,77.62766177,67.14449816
17,92.00000000,61.8951284,62.1,48.30067763,46.53291505,60,76.14301516,65.98256091
12,92.00000000,29.84169408,63.3,45.24951206,39.26622984,56.4,75.84512345,65.83832154
16,31.3796588,36.13334795,61.8,47.9098841,45.747782,59,75.92343971,65.79819852
18,31.48642948,77.62766177,61.7,50.20987789,46.69046648,60.2,76.96309168,66.70603055
20,31.6124031,61.8951284,62,50.77471585,46.7815648,60.5,78.11191872,67.01707156
14,31.6353471,35.82625735,62.4,46.71313451,43.54206966,58.6,75.95060123,65.91837999
13,32.63666364,34.81624758,63.1,45.96733794,41.94937335,58,75.84364914,65.84735212
21,32.70344407,40.82404662,62.6,50.81809432,47.20085084,60.8,78.86685859,66.92190193
23,33.93165961,35.20235628,61,51.34974154,47.21939541,59.7,78.43518191,65.62245655
22,34.71183749,77.62766177,62.1,51.46880537,47.22432481,60.8,78.99124597,66.24147465
25,36.03267447,34.43353129,59.4,52.2462176,47.98392441,58.1,75.81493264,65.64197772
26,36.84480747,36.06321839,59.2,52.59940342,48.57318101,58.8,75.12525621,65.93694921
27,38.96977475,35.9264854,58.6,53.78988011,48.6473926,58.7,75.03519921,66.43777883
28,40.68568483,61.8951284,58.7,54.99946903,48.56105033,60,75.1637013,66.78635548
29,41.91240333,77.62766177,59.1,56.35124789,49.2585152,60,75.48616027,67.2554484
31,45.05776637,61.8951284,59.2,59.38985737,49.80361649,61.9,76.69214284,68.36599498
32,45.86601517,61.8951284,59.4,60.71233149,50.27514494,63,77.37522931,68.57852029
33,47.13465821,77.62766177,60.9,61.8951284,50.5523346,63.7,78.64424394,68.82995959
39,47.570834,52.71173041,60.7,59.30576517,48.88802678,62.4,79.19632674,67.59402834
38,47.60502633,43.10045895,61.4,59.41199314,49.00045935,62.5,78.72141311,67.87492278
36,47.67275409,43.10036784,61.4,61.50098432,49.79185139,63.4,79.06712173,68.57122114
35,47.88714025,92.46649345,61.3,61.91458697,49.95089449,64.2,78.65074774,68.45473436
41,48.73004227,77.62766177,61.3,59.01025521,48.75798769,62.5,79.61862451,67.92810557
1,70.00000000,77.62766177,59.7,29.08836297,9.064438975,35.3,74.53532758,65.57092343
3,70.00000000,61.8951284,60.4,29.81022105,10.5589621,36.6,73.55451996,63.6642632
4,69.00000000,61.8951284,60.2,31.14791477,12.80460152,38.4,73.50181443,62.94150212
11,70.00000000,28.08038075,63.4,43.99925716,36.76572529,54.7,74.98103152,65.28413007
15,67.00000000,92.00000000,62.1,47.66908276,45.12403027,59.1,75.86911601,65.74986233
24,70.00000000,77.62766177,60.2,51.12484404,47.63933161,58.7,77.26731199,65.73095014
30,70.00000000,38.63152919,59.2,58.22882288,49.81020815,61.2,75.83816206,67.82022113
34,70.00000000,42.75854266,61.1,62.1694558,50.34559774,64.6,78.54494815,68.89448726
37,73.00000000,79.62766177,61.6,60.17284465,49.21091439,63,78.68630551,68.29759443
40,74.00000000,43.34892051,61,58.48958333,48.84047414,62.8,79.5329087,67.96979204
42,72.00000000,61.8951284,61.2,58.7423969,48.18041792,62.2,79.43281184,68.42673015